Country,Year,Population density
Afghanistan,1945,10.605877
Afghanistan,1946,10.768482
Afghanistan,1947,10.93358
Afghanistan,1948,11.10121
Afghanistan,1949,11.279594
Afghanistan,1950,11.469058
Afghanistan,1951,11.6087
Afghanistan,1952,11.755875
Afghanistan,1953,11.904618
Afghanistan,1954,12.05754
Afghanistan,1955,12.222579
Afghanistan,1956,12.40012
Afghanistan,1957,12.587901
Afghanistan,1958,12.777436
Afghanistan,1959,12.983487
Afghanistan,1960,13.219989
Afghanistan,1961,13.477056
Afghanistan,1962,13.7513685
Afghanistan,1963,14.0402355
Afghanistan,1964,14.343882
Afghanistan,1965,14.665308
Afghanistan,1966,14.999545
Afghanistan,1967,15.347404
Afghanistan,1968,15.711914
Afghanistan,1969,16.09017
Afghanistan,1970,16.486475
Afghanistan,1971,16.889523
Afghanistan,1972,17.304867
Afghanistan,1973,17.74728
Afghanistan,1974,18.19892
Afghanistan,1975,18.639729
Afghanistan,1976,19.050451
Afghanistan,1977,19.4522
Afghanistan,1978,19.837885
Afghanistan,1979,19.910734
Afghanistan,1980,19.144535
Afghanistan,1981,17.103163
Afghanistan,1982,15.4673815
Afghanistan,1983,15.257573
Afghanistan,1984,15.705639
Afghanistan,1985,16.117352
Afghanistan,1986,16.019575
Afghanistan,1987,15.826881
Afghanistan,1988,15.919934
Afghanistan,1989,16.364122
Afghanistan,1990,16.39729
Afghanistan,1991,16.474508
Afghanistan,1992,18.486479
Afghanistan,1993,21.470592
Afghanistan,1994,23.696487
Afghanistan,1995,25.173498
Afghanistan,1996,26.227865
Afghanistan,1997,27.273842
Afghanistan,1998,28.3537
Afghanistan,1999,29.533836
Afghanistan,2000,29.963335
Afghanistan,2001,30.186644
Afghanistan,2002,32.197628
Afghanistan,2003,34.719555
Afghanistan,2004,36.112343
Afghanistan,2005,37.42728
Afghanistan,2006,39.009163
Afghanistan,2007,39.71499
Afghanistan,2008,40.518227
Afghanistan,2009,41.987198
Afghanistan,2010,43.220448
Afghanistan,2011,44.84485
Afghanistan,2012,46.711258
Afghanistan,2013,48.35904
Albania,1945,42.62361
Albania,1946,43.13971
Albania,1947,43.66208
Albania,1948,44.190765
Albania,1949,44.872955
Albania,1950,45.714855
Albania,1951,47.050182
Albania,1952,48.42909
Albania,1953,49.88128
Albania,1954,51.42376
Albania,1955,53.055912
Albania,1956,54.767334
Albania,1957,56.553833
Albania,1958,58.430145
Albania,1959,60.402264
Albania,1960,62.452152
Albania,1961,64.56482
Albania,1962,66.72387
Albania,1963,68.91613
Albania,1964,71.13212
Albania,1965,73.35011
Albania,1966,75.57278
Albania,1967,77.82653
Albania,1968,80.126785
Albania,1969,82.47434
Albania,1970,84.84427
Albania,1971,87.21971
Albania,1972,89.60515
Albania,1973,91.98693
Albania,1974,94.35974
Albania,1975,96.72
Albania,1976,99.03518
Albania,1977,101.27
Albania,1978,103.40573
Albania,1979,105.429344
Albania,1980,107.35949
Albania,1981,109.21135
Albania,1982,110.99226
Albania,1983,112.69723
Albania,1984,114.29675
Albania,1985,115.75646
Albania,1986,117.0485
Albania,1987,118.16339
Albania,1988,119.08829
Albania,1989,119.78785
Albania,1990,120.25814
Albania,1991,120.51412
Albania,1992,120.57438
Albania,1993,120.46405
Albania,1994,120.21902
Albania,1995,119.867516
Albania,1996,119.39182
Albania,1997,118.74894
Albania,1998,117.96296
Albania,1999,117.089966
Albania,2000,116.13237
Albania,2001,115.095436
Albania,2002,113.99832
Albania,2003,112.88296
Albania,2004,111.77478
Albania,2005,110.680145
Albania,2006,109.61281
Albania,2007,108.61639
Albania,2008,107.725914
Albania,2009,106.95449
Albania,2010,106.32854
Albania,2011,105.8635
Albania,2012,105.55441
Albania,2013,105.365654
Algeria,1945,3.5063472
Algeria,1946,3.5590222
Algeria,1947,3.612488
Algeria,1948,3.6667576
Algeria,1949,3.7249188
Algeria,1950,3.7870893
Algeria,1951,3.8928418
Algeria,1952,3.997791
Algeria,1953,4.1027493
Algeria,1954,4.203458
Algeria,1955,4.30034
Algeria,1956,4.3972735
Algeria,1957,4.4938803
Algeria,1958,4.5906706
