ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,Aruba,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,418.3735046,457.6777649,499.4225159,544.2739868,603.3415527,665.5834961,720.9731445,783.7543335,852.539917,929.4373169,1021.570129,1115.012695,1221.372437,1324.936646,1435.214478,1567.566528,1704.153442,1970.834473,2336.122314,2596.955566,2669.947998,2907.967529,3054.437012,3247.895996,3626.417236,3464.745361,3449.007324,3732.093262,3986.949463,4036.630859,4059.292236,4174.905273,4181.356934,4289.712402,4631.410156,4856.557617,4846.933105,4918.866211,4861.193359,4380.089844,4030.288818,4119.461914,3974.151855,3974.344971,3911.293457,3947.602539,3933.78418,3979.9104,3922.934082,3912.334717
AGO,Angola,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,29291.86719,31141.05469,31305.89063,34129.19531,35657.08594,34076.07422,32093.30859,32655.63477,30366.09961,30602.19531,31392.54102,30972.29297,31754.4707,32040.82031,35351.60547,36121.62891,31211.93164,35470.16016,33697.27344,35647.36719,37133.44141,34268.98047,39262.39063,33907.76953,36429.99219,36195.30469,47421.27344,44510.02734,46014.24219,48516.49219,40331.17188,40581.89453,46423.42188,48678.51953,57881.46484,73289.53906,92609.53125,101425.7578,121978.3047,100015.1953,140977.2656,186079.3906,206875.8125,215701.4375,232654.5781,215561.9375,210500.9844,223326.7344,239500.8125,227771.6094
AIA,Anguilla,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,65.89254761,64.64227295,72.30760956,75.47914124,77.04732513,81.05152893,81.56519318,81.3486557,87.09983826,94.90086365,99.88347626,104.5859146,104.9077911,102.778595,103.9247513,116.9946365,141.2458801,155.8894043,160.7331696,177.8259583,215.376358,171.0462799,214.8790436,222.7757568,239.4156189,227.9968414,231.4812164,252.7682495,288.7090149,302.8781128,306.9021912,308.1075745,287.4194336,307.0180359,357.3128662,414.5115967,485.1055298,571.8590698,573.9663086,435.8045044,411.389801,414.2719421,387.4176025,371.4926147,392.6452026,406.3403931,387.9853516,340.5511475,359.8917542,375.1364441
ALB,Albania,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,6205.433594,6442.900391,6683.206055,6916.070801,7241.638672,7545.455566,7811.703613,8151.574707,8462.889648,8734.916992,9280.454102,9621.704102,9739.414063,10090.51074,10201.58398,10303.64453,10908.19141,11090.63867,10877.66113,11729.66113,11357.34082,9346.980469,7261.637207,8878.382813,10678.3125,11590.7832,13002.2793,11999.89551,13326.32324,14458.35645,14699.30859,15509.93066,16107.81543,17250.51563,18389.39844,19821.93945,21375.18945,23080.73438,25424.36328,27040.56641,29598.83984,29951.07617,30658.04492,29918.08008,31048.10742,31924.98047,32107.82227,33842.15625,35204.86328,35808.34375
ARE,United Arab Emirates,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,71241.07031,83339.57031,93134.04688,107121.0078,125348.5,140346.875,168278.8906,203346.1094,187456.7969,220662.3594,270291.0313,267942.625,249118.4219,232078.6094,238445.6719,224839.4688,186996.2188,185916.1094,179499.2813,199793.8281,239228.0156,241695.9063,251028.9375,209419.6406,215089.8906,234599.375,251194.4531,272388.5313,252875.9063,279911.875,351241.8125,356064.375,368971.2813,396855.0625,431692.5938,497313.9688,575654.25,612723.4375,666197.5625,560287.1875,574256.8125,674077.8125,682172.0625,669968.6875,692457.4375,634110.4375,623081.125,647360.5,639047.875,678241.1875
ARG,Argentina,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),49204.30078,51548.02734,46790.66016,48639.13672,50798.34766,55253.87891,56272.42578,58766.52344,63249.69922,59552.19531,64586.85547,67937.0625,64804.49609,64030.20703,68091.33594,78441.23438,77970.36719,81752.47656,84158.70313,91175.35938,92712.23438,96671.05469,98548.63281,103579.8906,108946.5703,107702.2188,106125.5859,110429.0859,106909.1094,116784.6641,124514.4609,123623.5156,124120.8281,135743.1563,144504.6875,138947.8906,158398.1094,170130.0781,178657.2031,176131.2969,192021.3125,230428.0625,277157.0938,318624.9063,370608.75,411558.5625,530665.375,549969.5625,549893.0625,516788.5938,511804.0313,479030.3438,445077.75,469548.5938,505402.3438,548210.5625,597409.3125,659283.0625,712242.3125,681255.6875,777507.5625,879071.8125,885093.0625,893109.3125,870641.0625,906909.6875,904730.875,1026128.125,1025747.063,991465.4375
ARM,Armenia,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23479.13867,21157.1875,12224.08008,10798.70313,8959.040039,9394.189453,9841.203125,9319.893555,9426.288086,9507.854492,9900.193359,10816.75684,12132.71191,13672.78516,15014.32422,17223.8457,19534.90039,22523.74609,24124.72656,21720.22852,23612.20313,26247.55078,29876.75586,30038.04102,29212.28711,31134.79492,31757.77344,36337.19922,37560.76953,41045.19141
ATG,Antigua and Barbuda,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,288.2171936,309.8344727,332.8866882,358.146637,376.8596802,355.4609375,321.0718384,344.9274292,346.671875,428.834259,415.9750366,435.8577881,552.8991699,565.2484131,485.9004822,527.1478271,640.6001587,673.6099854,746.8319702,774.0611572,799.8043823,812.541626,836.9454956,894.5756836,949.2700806,910.2397461,951.1530151,1012.111877,1080.147949,1133.766235,1212.200806,1220.43335,1274.841431,1340.526611,1448.28064,1569.803223,1769.790527,1991.328735,2105.026611,1957.543823,1845.603638,1870.908081,1883.595337,1770.776489,1788.10791,1817.450317,1882.081787,1817.421021,1917.104736,1979.578003
AUS,Australia,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),124238.0859,117261.4844,115164.4141,127630.2656,135539.7344,139683.75,142634.4219,142660.5938,152646.9063,163408.4219,165522.125,168795.8906,178033.1875,192960.875,201304.1563,204371.8594,217996.5,227025.7969,245552.8438,264196,272997.25,281414.625,294774.1875,309481.5625,301245.5313,303961,315166.5625,317372.5938,332639.25,344009.5313,358216.2813,376391.2188,368728.2813,388666.1563,401001.4688,414975.625,422509.0313,454775.5,487399.9063,505927.875,499817.3438,500745.5938,520647.0313,541615.125,565971.0625,591684.4375,618539.0625,648876.25,676002.75,714437.125,727518.875,757759.8125,783175.125,820682.9375,851302.6875,895703.9375,922265.5625,949605.4375,971043.0625,981726.1875,1050050.375,1099710.625,1113762.5,1173420.125,1173767.625,1149595.5,1218110.25,1240334.375,1281952.125,1277449
AUT,Austria,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),40887.86328,42685.76172,44963.01563,47256.82813,50271.27344,55079.12109,59338.42188,62390.98828,65403.38672,67623.88281,73102.20313,77483.14844,79760.78906,83190.85156,87125.75781,90165.54688,94825.72656,98172.10938,102891.5234,107791.8203,114248.0547,119990.7422,127493.4375,134347.625,138556.25,140016.7031,143714.0469,149694.2344,149462.4375,155305.0469,157413.8125,156130.375,157883.4844,161039.9844,160016.0938,163474.8281,171183.7813,177924.4375,188225.875,199247.0313,211851.3281,224453.5938,233594.2969,238647.0156,248846.2344,260516.125,265086.2813,276781.75,291613.1875,301488.7188,312851.0938,308232.4375,314584.2188,320443.5938,332495.0625,351104.8125,366558.5938,380535.0625,393096.4063,386075.0625,396089.5625,416419.7813,427241.0625,426138.5625,431041.3438,448293.9688,464551.5313,480926.9063,491529.875,496070.75
